Altium Designer Pick and Place Locations
C:\Users\yugan\Dropbox\Yugansh & Mingy Projects\Paul\SomaDome Project\Current Version\SOMA_25042022\Hardware Design Files\Project Outputs for SOMA_25042022\Pick Place for My_SOMA_25042022.txt

========================================================================================================================
File Design Information:

Date:       03/06/22
Time:       14:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                            Layer       Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                   
U4         STM32F429ZGT6                      TopLayer    QFP50P2200X2200X160-144N     1731.717      1405.675      270      "ARM? Cortex?-M4 series Microcontroller IC 32-Bit Single-Core 180MHz 1MB (1M x 8) FLASH 144-LQFP (20x20)"     
R84        "RES SMD 0 OHM JUMPER 1/16W 0402"  TopLayer    R0402                        1858.000      872.000       90       "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                  
FID1       M3                                 TopLayer    FIDUCIAL_40C                 1069.000      825.000       90       ""                                                                                                            
R82        100K                               TopLayer    R0402                        1083.193      1372.293      0        "100 kOhms ¡À1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"                  
R19        100K                               TopLayer    R0402                        1083.407      1413.584      0        "100 kOhms ¡À1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"                  
R18        100K                               TopLayer    R0402                        1083.001      1456.332      0        "100 kOhms ¡À1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"                  
R17        "RES SMD 0 OHM JUMPER 1/16W 0402"  TopLayer    R0402                        752.022       1533.609      0        "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                  
R16        "RES SMD 0 OHM JUMPER 1/16W 0402"  TopLayer    R0402                        752.033       1693.620      0        "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                  
R15        "RES 2.2K OHM 1% 1/16W 0402"       BottomLayer R0402                        1725.693      533.126       180      "2.2 kOhms ¡À1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                 
R14        "RES 2.2K OHM 1% 1/16W 0402"       BottomLayer R0402                        1725.085      578.839       180      "2.2 kOhms ¡À1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                 
R3         "RES 1K OHM 0.1% 1/8W 0805"        TopLayer    R0805                        3524.868      1201.471      270      "RES 1K OHM 0.1% 1/8W 0805"                                                                                   
C5         "CAP ALUM 1000UF 20% 25V SMD"      TopLayer    CAPAE1300X1350N              4106.936      1557.884      90       "CAP ALUM 1000UF 20% 25V SMD"                                                                                 
FB2        "600 Ohms @ 100MHz"                TopLayer    FB0603                       2077.519      290.524       0        "FERRITE BEAD 600 OHM 0603 1LN"                                                                               
C62        0.1uF                              TopLayer    C0402                        2025.321      349.681       0        "CAP CER 0.1UF 50V X7R 0402"                                                                                  
R40        "RES SMD 0 OHM JUMPER 1/16W 0402"  TopLayer    R0402                        680.091       2085.984      270      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                  
R38        "RES SMD 0 OHM JUMPER 1/16W 0402"  TopLayer    R0402                        727.493       2085.984      270      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                  
